"i1","i2","i3","i4","target"
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,1.0
1.0,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,1.0
1.0,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.5,1.0
0.5,0.5,0.5,1.0,0.5
0.5,0.5,1.0,0.5,1.0
0.5,1.0,0.5,1.0,0.5
1.0,0.5,1.0,0.5,0.5
0.5,1.0,0.5,0.5,1.0
